Do,id_post,right_addres,post_score,name
Василина,16516,1 линии В.О,3,
Василина,10230,"1-я Красноармейская, 3-5",6,
Василина,9303,"1-я Красноармейская, 3-5",7.5,
Василина,16068,"1-я линия В.О., 54",5.5,
Василина,18714,16 линии В.О,8.5,
Василина,10717,"4-я Красноармейская, 2",6,
Василина,26422,"4-я Красноармейская, 2",7,
Василина,19594,5 углов,8,
Василина,16477,5 углов,8.5,
Василина,14444,"6-я линия В.О., 27",9.5,
Василина,32504,"6-я линия В.О., 27",8.5,
Василина,34934,"6-я линия В.О., 27",7.5,
Василина,23861,"6-я линия В.О., 43а",8.7,
Василина,18598,"8-я линия В.О., 49",8,
Василина,26474,"8-я линия В.О., 49",7,
Василина,28341,"Авиагородок, улица Пилотов, 25, к.1",8.5,
Василина,27466,Авиаконструкторов про,9,
Василина,12010,"Авиаконструкторов проспект, 11",8,
Василина,12126,"Авиаконструкторов проспект, 22а",7,
Василина,17726,"Авиаконструкторов проспект, 9",7,
Василина,18754,"Авиаконструкторов проспект, 9а",9,
Василина,30530,"Авиаконструкторов проспект, 9а",1,
Василина,27659,"Авиаконструкторов проспект, 9а",7,
Василина,23183,"Автовская, 20 к2",3,
Василина,26925,"академика Крылова, 3",5,
Василина,21805,"Академика Лебедева, 10Б",3.8,
Василина,20287,"Академика Лебедева, 10б",8,
Василина,23617,"Александровский парк, 4, к. 3",5,
Василина,19899,"Алтайская, 1",7,
Василина,27197,"Альпийский переулок, 30а киоск",6,
Василина,39711,Апраксин переулок 4,9.6,
Василина,38750,"Апраксин переулок, 4",6,
Василина,38464,"Апраксин переулок, 4",6.5,
Василина,34880,"Апраксин переулок, 4",8.7,
Василина,37315,"Афонская, 18а",9,
Василина,29776,"Бабушкина, 19",8,
Василина,27374,"Бабушкина, 40",3,
Василина,13985,"Бабушкина, 48",6,
Василина,33488,Балканская пл,3,
Василина,31089,"Балканская пл, 5Б",6,
Василина,34825,"Балканская площадь, 5 к1, слева от выхода",7,
Василина,34756,"Балканская площадь, 5 к1, справа от выхода",4,
Василина,22371,"Балканская площадь, 5 лит И",5,
Василина,22306,"Балканская площадь, 5 лит И",4,
Василина,20907,"Балканская площадь, 5 лит И",8.5,
Василина,12754,"Балканская площадь, 5б",8,
Василина,25583,"Балтийская ул., д. 36",8,
Василина,24777,"Балтийская, 36",7.5,
Василина,25156,"Балтийская, 36",8.5,
Василина,28052,"Балтийская, 36",8.5,
Василина,14789,"Балтийского вокзала площадь, 1д",7.5,
Василина,36763,"Баррикадная, 28",5,
Василина,13845,"Бассейная, 12а",7,
Василина,21055,"Бассейная, 12Б",8,
Василина,13669,"Бассейная, 22д",4,
Василина,32803,"Бассейная, 22д",5,
Василина,16119,"Бассейная, 65",6,
Василина,33732,"Бассейная, 65",9,
Василина,35684,"Белоостровская, 27",3,
Василина,31576,"Белы Куна, 23а",7.5,
Василина,16721,"Белы Куна, 41 к2",3,
Василина,34476,"Библиотечный переулок, 6",7,
Василина,38000,"Богатырский 7, к8",8.5,
Василина,11744,Богатырский проспект,7.5,
Василина,16863,"Богатырский проспект, 1а",6,
Василина,29433,"Богатырский проспект, 2а",6,
Василина,24802,"Богатырский проспект, 35Б",6,
