Done,id_post,right_addres,post_score
Руслан Е.,37549,"Лиговский проспект, 74",3
Руслан Е.,25794,"Фермское шоссе, 35-37",6.5
Руслан Е.,24571,Сенная площадь,5
Руслан Е.,20440,"Варшавская, 108г",5
Руслан Е.,19953,"Ярослава Гашека, 11а ",1
Руслан Е.,19739,"Уточкина, 2а",6
Руслан Е.,19349,"Чайковского, 23",7.5
Руслан Е.,19171,"Богатырский проспект, 54/32",9
Руслан Е.,18928,"Муринский 2-й проспект, 2 к1",5
Руслан Е.,18714,16 линии В.О,8.5
Руслан Е.,17873,"Васи Алексеева, 1",6.5
Руслан Е.,17553,"Одоевского, 27",8
Руслан Е.,17313,"Набережная канала Грибоедова, 26а",8
Руслан Е.,17012,"Пушкин, Парковая, 26а",8.5
Руслан Е.,16818,"Будапештская, 71 к1",7
Руслан Е.,16516,1 линии В.О,3
Руслан Е.,16297,"Ленская, 17 к1 ",9
Руслан Е.,16119,"Бассейная, 65",6
Руслан Е.,15913,"Колпинский переулок, 1",6
Руслан Е.,15570,"Ленсовета, 86а",2
Руслан Е.,15272,"Энгельса проспект, 162 к1",1
Руслан Е.,15066,"Черкасова, 4",7.5
Руслан Е.,14765,"Большевиков проспект, 32а",8
Руслан Е.,14223,"Ленинский проспект, 147",7
Руслан Е.,13796,"Московский проспект, 205а ",4
Руслан Е.,13666,"Коменданский проспект, 6 к1",10
Руслан Е.,13604,"Маршала Казакова, 35",8
Руслан Е.,13509,"Набережная Обводного канала, 122",4
Руслан Е.,13350,"Лесной проспект, 61а к3",9
Руслан Е.,13233," Торжковская, 1",9
Руслан Е.,13116,"Димитрова, 13а",9
Руслан Е.,12461,"Маршала Казакова, 35",8
Руслан Е.,12334,"Коломяжский проспект, 26а",9
Руслан Е.,12192,"Купчинская, 23 к1 лит А",9
Руслан Е.,12010,"Авиаконструкторов проспект, 11",8
Руслан Е.,11747,"Средний проспект В.О., 34",8
Руслан Е.,11681,"Восстания, 4",7.5
Руслан Е.,11379,"Будапештская, 77",9
Руслан Е.,11251,"Науки проспект, 14Б",7.5
Руслан Е.,11100,"Боткинская, 3 к1",8
Руслан Е.,10952,"Каменноостровский проспект, 42",6
Руслан Е.,10519,"Васи Алексеева, 1",7
Руслан Е.,10389,"Большой Сампсониевский проспект, 28",5.5
Руслан Е.,10231,"Торфяная дорога, 2 к1",6
Руслан Е.,10124,"Науки проспект, 14б",9.5
Руслан Е.,9731,"Лиговский проспект, 105",5.5
Руслан Е.,9638,"Стачек проспект, 105 к1",9.8
Руслан Е.,9315,"Испытателей проспект, 9 к3",4
Руслан Е.,39448,"Богатырский проспект, 7 к8",7.5
Руслан Е.,38392,"Луначарского проспект, 17а ",6.5
Руслан Е.,36963,"Просвещения проспект, 21г",4
Руслан Е.,36507,"Советская 2-я, 1/8 к1",8
Руслан Е.,35875,"Российский проспект, 10",8.7
Руслан Е.,35111,"Культуры проспект, 1",1
Руслан Е.,34340,"Средний проспект В.О., 42",5.5
Руслан Е.,33588,"Науки проспект, 45 к2",9
Руслан Е.,32572,"Кирочная, 17",7.5
Руслан Е.,32133,"Труда площадь, переход",6
Руслан Е.,31517,"Декабристов, 46",8
Руслан Е.,31172,"Маршала Казакова, 35",6.5
Руслан Е.,30454,"Комендантский проспект, 26",7.5
Руслан Е.,30171,"Удельный проспект, 2а",4
Руслан Е.,29907,"Разъезжая, 37",5.5
Руслан Е.,29433,"Богатырский проспект, 2а",6
Руслан Е.,28048,"Правды, 12",4.5
Руслан Е.,27434,"Литейный проспект, 59",5.2
Руслан Е.,27120,"Выборг, Крепостная, 47",5.5
Руслан Е.,26459,"Стачек проспект, 105 к1",5
Руслан Е.,25827,"Правды, 12",1
Руслан Е.,25232,"Стародеревенская, 8 к4",4
Руслан Е.,24777,"Балтийская, 36",7.5
Руслан Е.,24332,"Энгельса проспект, 120а",8.5
Руслан Е.,23819,"Есенина, 5",6.5
Руслан Е.,22740,"Ломоносов, Победы, 11",5
Руслан Е.,22169,"Просвещения проспект, 87в",8
Руслан Е.,21885,"Новочеркасский проспект, 47а",1
Руслан Е.,20333,"Косыгина проспект, 31",4.5
Руслан Е.,18686,"Маршала Казакова, 1",5
Руслан Е.,17241,"Косыгина проспект, 26 к1",9
Руслан Е.,14014,"Красных Курсантов бульвар, 63 к2",6
Руслан Е.,10325,"Чкаловский проспект, 12",9
Руслан Е.,37624,"Будапештская, 94",3
Руслан У.,29531,"Луначарского проспект, 76к2",9
Руслан У.,25663,"Науки проспект, 21в",6.5
Руслан У.,24207,"Королёва проспект, 43",5
Руслан У.,20982,"Удельный проспект, 2",2
Руслан У.,20189,"Удельный проспект, 2а",3
Руслан У.,19899,"Алтайская, 1",7
Руслан У.,19660,"Ботаническая, 66 к3, Петергоф",3
Руслан У.,19306,"Тимуровская, 26 к1а",0
Руслан У.,19152,"Удельный проспект, 2,",7
Руслан У.,18598,"8-я линия В.О., 49",8
Руслан У.,18121,"Московский проспект, 216",5
Руслан У.,17541,"Пилютова, 11 к4",7
Руслан У.,17274,"Бухарестская, 30/32",1
Руслан У.,16801,"Ленсовета, 53а",5.5
Руслан У.,16496,"Ивановская, 9",7
Руслан У.,16285,"Восстания, 55",6
Руслан У.,15841,"Кронверкский проспект, 45",8
Руслан У.,15552,"Политехническая, 31",1
Руслан У.,15020,"Малый проспект., 42",7
Руслан У.,14914,"Заневский проспект, 71 к2а",9
Руслан У.,14738,"ул. Будапештская, 49",4
Руслан У.,14616,"Восстания, 4",6
Руслан У.,14444,"6-а линия В.О., 27",9.5
Руслан У.,14097,"Ленинский проспект, 127 к1",5
Руслан У.,13329,"Михаила Дудина, 15",9
Руслан У.,13227,"Комендантский проспект, 12в",3
Руслан У.,13098,"Железноводская, 68",8
Руслан У.,12823,"Ветеранов проспект, 36 к2",7
Руслан У.,12686,"Политехническая, 28",5.5
Руслан У.,12575,"Ломоносова, 2",5
Руслан У.,12292,"Каменноостровский проспект, 22",2
Руслан У.,12166,"Торфяная дорога, 2 к1",4
Руслан У.,11991,"Просвещения проспект, 19а",4.5
Руслан У.,11887,"Политехническая, 20",7
Руслан У.,11744,Богатырский проспект,7.5
Руслан У.,11654,"Московский проспект, 216",5
Руслан У.,11561,"Ломоносова, 2",8
Руслан У.,11359,"Энгельса проспект, 154",7
Руслан У.,11098,"Есенина, 5 ",9
Руслан У.,10938,"Сенная площадь, 9",9
Руслан У.,10717,"4-я Красноармейская, 2",6
Руслан У.,10230,"1-я Красноармейская, 3-5",6
Руслан У.,10123,"Варшавская, 108Б",2.5
Руслан У.,10044,"Стачек проспект, 66",6
Руслан У.,9899,"Большевиков проспект, 71к1",0
Руслан У.,9729,Кораблестроителей 35,9
Руслан У.,9497,"Московский проспект, 105 к2",8
Руслан У.,9293,"Труда площадь, 1",7
Руслан У.,38314,"Владимирский проспект, 1",3
Руслан У.,37563,"Загородный проспоспект, 24",7.5
Руслан У.,36906,"Тихорецкий проспект, 1а",3
Руслан У.,36484,"Римского-Корсакова проспект, 103",7
Руслан У.,35684,"Белоостровская, 27",3
Руслан У.,35063,"Луначарского проспект, 76к2",8.5
Руслан У.,33558,"Большая Разночинная, 24",6.5
Руслан У.,32504,"6-а линия В.О., 27",8.5
Руслан У.,32093,"Купчинская, 32",6
Руслан У.,31138,"Тихоокеанская, 3",8
Руслан У.,30411,"Энгельса проспект, 121",5
Руслан У.,30155,"Металлистов проспект, 116",6.5
Руслан У.,29878,"Мясная, 28",7
Руслан У.,28476,"Литейный проспект, 64",0.5
Руслан У.,28026,"Чкаловский проспект, 12",7
Руслан У.,27394,"Маршала Жукова проспект, 41",6.5
Руслан У.,27055,"Испытателей проспект, 9А",5
Руслан У.,26422,"4-я Красноармейская, 2",7
Руслан У.,25740,"Кирочная, 28/22",7.5
Руслан У.,25156,"Балтийская, 36",8.5
Руслан У.,24711,"Савушкина, 10а",4
Руслан У.,23641,"Московский проспект, 40",6.4
Руслан У.,22951,"Новаторов, 71",4.7
Руслан У.,22731,"Коломяжский проспект, 24",7.5
Руслан У.,22109,"Малый проспект., 44/1",5.7
Руслан У.,21805,"Академика Лебедева, 10Б",3.8
Руслан У.,21386,"Петергофское шоссе, 45",7.5
Руслан У.,20815,"набережная реки Фонтанки, 59",8
Руслан У.,19615,Среднеохтинский пр.43,8.5
Руслан У.,16334,"Тульская, 3",10
Руслан У.,13857,"Науки проспект, 28А",8
Руслан У.,9834,"Ярослава Гашека, 11",8
Даня,37693,"Боткинская, 3 лит А",7.5
Даня,27524,"Московский проспект, 105 к2",8
Даня,24764,"Московский проспект, 23",5
Даня,22209,"Обводного канала набережная, 42",
Даня,20287,"Академика Лебедева, 10б",8
Даня,20096,"Счастливая, 17",5
Даня,19802,"Энгельса проспект, 111у",7
Даня,19279,"Новочеркасский проспект, 52 к5а",
Даня,18759,"Уткин проспект, 13 к15",4
Даня,17602,"Сенная площадь, 8",1
Даня,17353,"Промышленная, 5",7
Даня,17066,"Ветеранов проспект, 36 к2",7
Даня,16888,"Димитрова, 18 к1",
Даня,16667,"Ярослава Гашека, 6",8
Даня,16409,"Обуховской Обороны проспект, 120ш",
Даня,16161,"Просвещения проспект, 15а",9
Даня,15683,"Науки проспект, 21в",8
Даня,15341,"Московский проспект, 191",9
Даня,15138,"Ленина площадь, 4и",8
Даня,14979,"Новочеркасский проспект, 47а",8.5
Даня,14807,"Просвещения проспект, 88а",6
Даня,14680,"Большой проспект Васильевского острова, 25",9
Даня,14359,"Ленинский проспект, 98",8
Даня,13985,"Бабушкина, 48",6
Даня,13845,"Бассейная, 12а",7
Даня,13712,"Новосмоленская набережная, 1",7
Даня,13635,"Чайковского, 23",3
Даня,13565,"Маршала Казакова, 35",5
Даня,13396,"Шуваловский проспект, 72 к1",7.5
Даня,13283,"Ветеранов проспект, 53",9
Даня,13148,"Энгельса проспект, 154",9
Даня,12907,"Энгельса проспект, 137а",8
Даня,12621,"Гаккелевская, 32",8
Даня,12377,"Энгельса проспект, 111б",7
Даня,12229,"Сенная площадь, 8",7
Даня,12129,"Мытнинская, 18",2
Даня,12023,"Пионерская, 35",8
Даня,11936,"Испытателей проспект, 9 к3",5
Даня,11785,"Новочеркасский проспект, 26",7
Даня,11683,"Планерная, 49 к1",8
Даня,11598,"Индустриальный проспект, 34б",8
Даня,11478,"Тепловозная, 34",7
Даня,11344,"Испытателей проспект, 9 к3",3
Даня,11005,"Науки проспект, 1а",4
Даня,10816,"Большевиков проспект, 32а",9.5
Даня,10532,"Большевиков проспект, 32а",9
Даня,10420,"Одоевского, 33а",7
Даня,10280,"Ветеранов проспект, 16",5
Даня,10093,"Ярослава Гашека, 11а",1
Даня,9672,"Гражданский проспект, 119 к4",7.5
Даня,9406,"Испытателей проспект, 4в",7
Даня,39652,"Непокорённых проспект, 2",4
Даня,38869,"Богатырский проспект, 7 к8",7.5
Даня,37760,"Старо-Петергофский проспект, 37",7
Даня,37132,"Купчинская, 32 к1",6.5
Даня,35944,"Большой проспект Васильевского острова, 25",4
Даня,35531,"Выборгское шоссе, 1б",8.2
Даня,33951,"Кадетская, 53",5.5
Даня,33352,"Разъезжая, 41",2
Даня,32279,"Декабристов, 31",1
Даня,31945,"Гривцова переулок, 20",8.5
Даня,31311,"Егорова, 15",8
Даня,31002,"Правды, 4",3
Даня,30211,"Енотаевская, 15",1
Даня,28977,"Маршала Казакова, 35",9
Даня,28111,"Индустриальный проспект, 24а",5.5
Даня,27585,"Введенский канал, 8",4
Даня,27216,"Коллонтай, 30в",7
Даня,26731,"Художников проспект, 16а",8
Даня,26039,"Правды, 12",7
Даня,25450,"Луначарского, 64 к3",8.5
