"","X","id_post","текст","оценка","address","оценка1"
"1",0,39768,"['#шаверма_Владимирская', '#шаверма_Достоевская', 'ОЦЕНКА: 7 из 10 ', 'АДРЕС: Щербаков пер., д. 12А', '', 'Обзор посвящается всем, кому приходится терпеть дискриминацию со стороны идеологов ""канона"", а также всем поклонникам стритфуда, откртым всему новому и интересному. На его написание я вдохновился недавно появившейся новой коллекцией значков в данном сообществе, а также хорошими отзывами на это заведение в этом паблике. ', ' ', 'Лавашерия находится совсем недалеко от метро, вход — со внутреннего двора. Внутри — красиво, чисто, приятно, современно, стильно. Есть место, где можно помыть руки. При подключении к сети wi-fi в кафе, на стартовой странице написано, что это место — первая в мире лавашерия. Звучит претенциозно! ', ' ', 'Функции повара (который готовит в перчатках) и кассира выполняют два разных человека, оба очень любезные и вежливые. При заказе мне посоветовали фирменный в этом заведении морс, который мне очень понравился — такой же вкусный и натуральный, как у бабушки. Кухня - открыта, можно любоваться процессом приготовления. Вертела замечено не было, и по этой причине я решился на совсем антиканоничный шаг - я взял шаверму с рыбой (треской), она называлась ""fish & chips"". Мне сказали, что соус тар-тар там делают фирменный, и что есть возможность добавить ингредиенты по вкусу, т.е. создать уникальную, заточенную под себя шавуху. ""Заманчиво!"" — подумал я, но все же решил не менять стандартных рецептур и попробовать тот вариант, который предлагали изначально. Помимо fish\'n\'chips в меню ооочень много других видов шаверм и роллов - от классики до ржаной питы с салом. ', ' ', 'Самым ярким моментом в блюде, которое для меня приготовили, была свежесть и качество ингредиентов. А из ингредиентов там были: ', '- жаренная во фритюре треска (максимально свежая и вкусная) ', '- соус тар-тар (в сочетании с рыбой - класс) ', '- нашинкованная пекинская капуста ', '- картофель-фри ', 'Вместо лаваша - пшеничная лепешка, которую, как по мне, можно было прожарить чуть больше. ', 'Все это удовольствие стоило 249 рублей, хотя размер не дотягивает до среднего. Дороговато для уровня шаверм, приемлемо и демократично, по сравнению с аналогичными местами, по уровню сервиса, комфорта и вкуса. ', '', 'Подвести итог сложно. Как специализирующееся на уличной еде, заведение мне очень понравилось приятной атмосферой, демократичными ценами, высоким уровнем сервиса и, конечно, наличием вкусных прелестей уличной еды. Но если ставить оценку в критериях группы, то, скорее всего, больше 7 поставить сложно — небольшие размеры, не самые дешевые цены и отсутствие того самого вертела. Ниже ставить ни в коем случае нельзя - ведь по вкусу и по качеству ингредиентов здесь не может быть никаких нареканий. В общем, я ставлю 7, а вы идите и пробуйте, место того стоит! Ведь при таком широком выборе шаверм/роллов/лавашей/пит каждый может найти что-то, что приглянется и подойдет ему как по вкусовым пристрастиям, так и по материальному положению.']","['ОЦЕНКА: 7']","АДРЕС: Щербаков пер., д. 12А'",7
"2",1,39711,"['#шаверма_сенная', '#шаверма_садовая', '#шаверма_спасская', '', 'ОЦЕНКА 9.6 из 10', 'АДРЕС: Апраксин переулок 4 (слева, после прохода шлагбаума в Апраксин двор). ', '', 'Тот самый храм, всеми любимая шаверма+кола по акции, которая радовала большую часть горожан и гостей города, а в особенности студентов, и находилась в недавно снесенных павильонах у метро Садовая. Так вот, эта шаверма наконец-то НАШЛАСЬ. ', 'Всеми любимый повар, всеми любимые акции с баночками бодрящей Кока-Колы и всеми (за исключением некоторых людей) обожаемой аджики, хрустящих маринованных орурчиков и корейской морковки, а также, конечно же, маринованных перчиков холопеньо . При этом добавился нежный аккомпанемент восточных песен и более вместительное помещение. Сегодня зашли взяли на тарелке, и пусть весь мир подождет. Впрочем, о её качестве и величайшем вкусе большинству заядлых любителей данной вкусности и без лишнего описания хорошо известно. Всё было разложено в блюде с такой обильной любовью и аккуратностью, что хотелось перед трапезой написать с неё натюрморт. Лаваш был хрустящий, мягкий и горячий одновременно. ', 'Чуткость и трепетное отношение персонала к Вашим желаниям также оставили приятное послевкусие (хотите с аджикой, хотите без, хотите лука, не хотите - не положат и т.д.) Тарелка + кола обошлась в 200р. За шаверму в лаваше вы отдадите 150 рублей. Душевность, доброта, приветливость, любвиобильность и мастерство владельца данного заведения зашкаливает и находится где-то над потолком всех шаверм города.', 'Единственное, что может хоть как то снизить оценку, это хоть и увеличенная, но относительно малая площадь помещения и посадочных мест. Потому что поток, который ломился в данное заведение, был просто умопомрачителен. Хотя, вспоминая прошлое место, уверен, это вновь никого не остановит. ', 'Чисто, грамотно, красиво, много, вкусно, добролюбимо! Без тяжести в животе и ощущения голодания :)', 'Сердечно всем рекомендую.', 'Схема прохода от метро Сенная прилагается.']","['ОЦЕНКА 9.6']","АДРЕС: Апраксин переулок 4 (слева, после прохода шлагбаума в Апраксин двор). '",9.6
"3",2,39685,"['#шаверма_Старая_деревня', '', 'ОЦЕНКА: 6,5 из 10', 'АДРЕС: Приморский проспект 72, ТРЦ Питерлэнд', '', 'В Питерлэнде 3 этаж, заведение Картаго.', 'Шаверма стоит 150, в подарок идет стаканчик морса.', 'Сама богиня средних размеров, имеет хорошо прожаренный лаваш.', 'Мясо с овощами 50/50. Мясо вкусное, но в конце попались хрящи. Соус обычный, не очень острый.', 'Овощи свежие, но много капусты.', 'С одной стороны лаваш толстый, а с другой очень тонкий. К концу трапезы ломается.', '6.5/10.']","['ОЦЕНКА: 6,5']","АДРЕС: Приморский проспект 72, ТРЦ Питерлэнд'",6.5
"4",3,39652,"['#шаверма_площадьМужества', '#шаверма_площадь_Мужества', '#шаверма_Мужества', '', 'АДРЕС: строение слева от выхода из метро на углу Непокоренных 2', 'ОЦЕНКА: 4 из 10', '', 'Уже достаточно давно в этом месте появилось это строение с шавермой, но руки не доходили отведать ее. Сегодня все же решили зайти сюда. ', '', 'Помещение и персонал:', '-Небольшое помещение на 6 сидячих мест, но 6 людям там будет очень тесно', '-В помещении очень жарко, слишком сильно работает обогрев', '-Деньги и заказ принимает кассирша, которая также за ширмой режет овощи и, видимо, замешивает соус', '-Повар работает в перчатках ', '', 'Меню и цены видно на фото, все по стандарту', '', 'Шаверма:', '-Когда мы пришли, человек, который сидел за одним из столиков, уже ждал свой заказ. В итоге шаверму ему готовили только при нас минут 6, а сколько он сидел до нашего прихода в ожидании нам неизвестно. Нашу шаверму делали около 8 минут, ибо повар работал совершенно не спеша', '-Размер неплохой, соотношение мяса к овощам 70/30', '-Прожарка хорошая, достаточно хрустящий лаваш, но он не крошится ', '-Ингредиенты распределены совершенно неравномерно. Сначала может идти одно мясо, потом одни овощи', '-Об овощах - были одни помидоры, немного капусты и всего один (!) маленький кусочек огурца. ', '-Мясо было слегка пересушено,а соуса было мало, к тому же он не особо ощущался ', '-В конце шаверма решила сыграть с нами в Титаник - треснула по центру и часть жира/соуса вытекла в пакет ', '', 'В общем, не советую данное заведение, ибо шаверма там ниже среднего. ', '', 'P.S. За этим ларьком есть клевая выпечка со вкусными пирожками и хычинами, лучше там перекусить. Также в области метро есть как минимум 3 точки с шавермой, но был в них давно и не могу сказать, на сколько там шаверма сейчас.']","['ОЦЕНКА: 4']","АДРЕС: строение слева от выхода из метро на углу Непокоренных 2'",4
"5",4,39619,"['#шаверма_Академическая', 'АДРЕС: проспект Науки, 14Б', 'ОЦЕНКА: 7,5 из 10.', '', 'В принципе этот храм Богини приметил я давно. Да и наслышан о нем был предостаточно от знакомого, рядом там живущего. Ходил он в этот храм с момента открытия, и нареканий от него я не слышал. ', '', 'Зашел я туда на прошлой неделе аж дважды. Но так как у меня есть опыт только в приготовлении и употреблении пищи, а не фотографировании, то фото прикладываю лишь одно. И шеф-повар, и женщина-кассир оба раза были одни и те же. Уж не знаю, работают ли они по 7 дней в неделю, или все-таки есть у них сменщики, но к данной паре претензий никаких. Все дружелюбно, аккуратно, без косяков. В пите шаверма стоит 120, в лаваше - 140. В обоих случаях брал вторую ибо больше люблю лаваш, да и наслышан был про ее длину. Пиво разливное стоит 100 рублей, обычное свежее пиво, вполне нормальное за свои деньги в таких местах. Еще в наличии там есть различные мини-пиццы, хот-доги, гамбургеры, но на них я особо внимания не обращал, т.к. пришел за иным. ', '', 'Теперь о самой амброзии. ', 'Лаваш хороший, вкусный. Первый раз был для меня идеально прожарен, во второй шеф чуть перестарался (на фото видно). Ну по справедливости, шаверма от этого менее добротной не стала, да и не смотря на вид лаваш не горчил, как бывает при сильной пережарке. К мясу претензий нет, ни одной жилки не попалось, хорошо прожаренное, свежее. Также никаких претензий к огурцам и помидорам. Шеф спрашивает, надо ли вам добавлять морковку, капусту и лук. Я хоть и фанат классики, но решил проэксперементировать и не прогадал. Сочетание получается вполне добротное, сочетание мяса и овощей остается примерно 50/50, при этом огурцов и помидоров все равно больше, чем капусты. В общем не придерешься. Распределено все это по лавашу довольно равномерно. Соус классический, без кислинки, не особо жирный, не течет. Вообще стоит отметить, что оба раза шаверма не протекла от слова совсем. Я бы, пожалуй, даже чуть увеличил кол-во соуса в блюде. Несмотря на длину, разламываться пополам словно Титаник наша царица тоже не собиралась. В плане сытности тоже получилось все хорошо, взрослому здоровому мужику хватает, хотя если вы ну очень голодны, то может вы пожалеете об отсутствии двойной. ', '', 'Подводя итог, ставлю 7,5. В моем понимании 9 это идеал, 8,5 это отлично. Пол бала снимаю за кол-во соуса, можно было и побольше, еще пол бала за пережарку лаваша во второй раз. Но единственное я знаю точно - заходить в этот небольшой храм я планирую и дальше, так как по соотношению всех параметров оценки в районе Академки шавермы лучше я давно не ел.']","['ОЦЕНКА: 7,5']","АДРЕС: проспект Науки, 14Б'",7.5
"6",5,39574,"['#шаверма_Петергоф ', '', 'ОЦЕНКА: 7,5/10', 'АДРЕС: Петергоф, ул. Разводная 29', '', 'Заведение сразу привлекло очень приятным и чистым убранством, а также работой 24ч. ', 'Заказал двойную в лаваше - 180₽ (150₽ обычная). Шаурмэн приготовил блюдо быстро, при готовке надел шапочку и перчатки. ', '', 'По самой шаверме:', 'Лаваша очень, ОЧЕНЬ много, он хрустящий, но не крошится и не режет дёсны. ', 'Само по себе блюдо не разваливается в руках, начинки как раз на двойную шаверму. Курица очень нежная, не пережаренная, светлая. Из овощей присутствовали мелко нарезанные огурцы и ЖЁЛТЫЕ (!) помидорки - лично мне показались вкуснее обычных. Соуса было несколько маловато. Хотя, возможно, из-за количества лаваша так показалось. ', 'Как итог: очень даже советую это заведение.']","['ОЦЕНКА: 7,5']","АДРЕС: Петергоф, ул. Разводная 29'",7.5
"7",6,39558,"['#шаверма_Международная', '', 'АДРЕС: Малая Бухарестская 12', 'ОЦЕНКА: 6,5 из 10', '', 'Итак, проезжая как-то по этой малой улочке Малая Бухарестская, мною было запримечено наличие шавермочной. Находится данная шавермочная примерно посередине этой недлинной улочки, у дома 12. Заведение ""прилипает"" к ларьку. ', 'Атмосферка так себе, скажу честно. Немного испугал шавермейстер и его кореш, который, видимо, тоже там работает. Его крикливый ломаный вопрос с чем мне и что, а также неприятный вид, мягко скажем, даже для специфики профессии, вид, взбудоражил. Внутри посидеть лишь пара мест. судя по шторе, там он может и жить. Мясо было пережарено дико, что сразу было мной подмечено... На этом минусы кончились. ', '', 'по вкусу шаверма была очень неплохая, чуть выше среднего размера, были свежие овощи, отличная аджика, сделавшая шаверму настоящей мужской и острой, она не разваливалась, съел я ее с удовольствием, даже позабыв про пережаренное мясо (имхо, оно почти везде такое) ', '', 'Цена нормальная: ', 'пита - 120', 'лаваш- 140', 'двойная в лаваше - 160 (ее и брал) ', 'на тарелке - 170 ', '', 'п.с. Поведали работающие там, что круглосуточная она.']","['ОЦЕНКА: 6,5']","АДРЕС: Малая Бухарестская 12'",6.5
"8",7,39448,"['#шаверма_Пионерская', '', 'ОЦЕНКА: 7,5 из 10.', 'АДРЕС: Богатырский пр., д. 7, к. 8.', '', 'Репутация Мастер-кебаба на Пионерской падает день ото дня. Низшей точкой стала атака шавермейстера на посетителя, о которой много говорили городские СМИ. Будучи заброшенным сюда стечением обстоятельств, я твёрдо решил попытать счастья в другой шаверме и обнаружил чуть поодаль от станции, пройдя неприятные пёстрые киоски с тревожной аудиторией, тихое заведение на первом этаже жилого дома.', '', 'Несмотря на название (""Шавермания""), может сходу показалось, что я попал в филиал ""Вкусной шавермы"" - всё та же технология с 8 поддонами, стандартный набор овощей (помидоры, огурцы свежие и солёные, капуста, лук, морковь по-корейски, зелень), стандартная технология укладки и закручивания. Однако надо иметь в виду, что организация питания во Вкусной шаверме, как бы сильно не упало её качество в последний год, стало для многих примером и образцом. Частенько можно встретить заведения, пользующиеся сходной организацией.', '', 'Само заведение невелико по площади, стойка рассчитана на 4-5 посадочных мест. Полагаю, в скором времени появятся ещё, если уже не появились. Цены чуть выше средних, но ниже, чем в той же Вкусной. Шаверма в лаваше или в пите стоит 160 рублей. Повар, приняв деньги, готовит в перчатках. Язык не повернётся назвать это минусом, но замечу: акустика помещения ли тому причиной, излишняя старательность повара ли, но удары ножей друг о друга звучат излишне громко, словно дрель соседа в 6 утра в воскресенье. А вот отсутствие туалета действительно можно назвать минусом - нет возможности помыть руки. Однако у шавермейстера, как оказалось, можно взять влажные салфетки, и это действительно хорошее подспорье к трапезе: приступать к шаверме с чистыми руками куда приятнее даже психологически.', '', 'Я выбрал шаверму в пите по старой памяти - когда-то во Вкусной шаверме она была очень хороша. Не обманулись ожидания и в этот раз. Сочетание ТСС и питы давало неуловимый, но такой приятный вкус. Начинка была распределена равномерно, мясо не осталось по краям и внизу, как это зачастую бывает. Уголки питы были подрезаны для облегчения накладывания и укрепления конструкции. Соуса было много, и он был довольно густой, не размачивал питу. Мясо в целом приятное, нежирное.', 'Состав овощей я уже озвучил, все они свежие, особенно меня порадовало большое количество зелени, буквально комьями заброшенной в питу. Разумеется, если вы не поклонник этого, вполне можно попросить не класть зелень. ', '', 'В общем и целом нежирное мясо и жирноватый соус компенсируют друг друга, за счёт удачного решения с подрезанными уголками и густоты соуса пита не размокает и не разваливается раньше времени. Хорошо перемешанные ингредиенты и старая добрая система восьми поддонов напомнили о Вкусной шаверме времён расцвета. Можно считать Шаверманию достойным преемником. Размер также соответствует, лично я сдался на последних укусах. В общем и целом 7,5 из 10 для данного заведения вполне адекватная оценка.']","['ОЦЕНКА: 7,5']","АДРЕС: Богатырский пр., д. 7, к. 8.'",7.5
"9",8,39423,"['#шаверма_Гражданский_проспект', '#шаверма_Гражданский', '#шаверма_Гражданка', '', 'АДРЕС: угол Тимуровской и Брянцева напротив автобусной остановки', 'ОЦЕНКА: 4.5', '', 'Больше года назад постил тут про шаверму на перекрёстке Тимуровской и Брянцева, которая полное Дно. Далее история про то, как на этом углу возникла вторая, не менее беспонтовая, точка по производству ада в лаваше.', '', 'Новогодние каникулы подходили к концу, а недавно открытая Грузинская пекарня всё не открывалась, а пирожки с лавашиком всё не покупались. И внезапно она взяла и мощно АПнулась до гордой ДИОДНОЙ вывески ""Шаверма"". Поставили вывеску и начали ребрендинг уже внутри. Всё логично пока😁', 'Торжественный день открытия спровоцировал давку, в ларьке кипела работа, деньги принимал, судя по всему, сам хозяин, работали простые смертные. Проникнувшись к обильному ассортименту разных ""Перошков"" и ""Пица"", я, словно опомнившись, вспомнил, зачем я сюда пришёл. Взяв на пробу двойную в лаваше, я потопал домой (ввиду отсутствия помещения для употребления). Готовила, кстати, женщина, что уже насторожило и не внушало доверия. Идти до дому полторы минуты. После употребления она не застряла в памяти, ввиду страшной беспонтовости, и благополучно забылась.', '', 'Сегодня , по дороге домой в конце рабочей недели, мне стали приходить в голову мысли о пивке и шаверме. Добравшись до дома, я вспомнил про свои мысли и решил дать второй шанс этой недошаверме. Взял на этот раз Топовую ""по Египетски"". Аж за 170 рубасов. Про египетские особенности решил не спрашивать, а решил просто понаблюдать, т.к сквозь окно всё прекрасно видно. Деньги взяла женщина и крикнула в помещение ""Игипицки сделай"". Молодой и тощий парень принялся крутить неуверенными руками. За минуту до моего заказа он срезал последнее мясо с вертела и разложил горкой, убрав при этом вертел.', '', 'Заказ был выдан довольно быстро.', 'О шаверме:', 'Лаваш был плохо прожарен и резинил во рту, хотя повар клал его под гриль (мне сперва показалось что он выключен). Хрустело в этом шаво-изделии абсолютно всё. Курица засохла и хрустела. Изобилие обычной 😳 пресной капусты, так же издавало хруст. Огурцы и помидоры хрустели. Жопки от соленых огурцов хрустели. Не хрустела лишь только картошка фри, которую я обнаружил на дне (видимо это и отличало её от обычной православной шавы). Соус настолько никакой и настолько жидкий, что обнаружен он был на самом дне. В целом шава приличная в размерах, хотя сильно не наелся. Но сухая и бесконечно пресная, приходилось всё время подсаливать.', '', ' Эпилог:', 'На этом перекрёстке стало на одну невкусную Шаверму больше. Остальной выпечки там много, но сильно завышен ценник. Брал там чебуреки и эчпочмак - гадость страшная. Мясо кислое. Может исправились уже, но проверять не хочу. Зато фирменное пиво есть и лимонады ""Натахтари""', 'В общем - советовать не буду. У меня всё.']","['ОЦЕНКА: 4.5']","АДРЕС: угол Тимуровской и Брянцева напротив автобусной остановки'",4.5
"10",9,39385,"['#шаверма_Звёздная #шаверма_Цой', '', 'ОЦЕНКА: 7 из 10', 'АДРЕС: ул. Ленсовета, д. 87, к. 1', ' ', 'Заведение находится на первом этаже точечного жилого дома, чуть в поодаль от метро Звёздная. Дом находится на линии, соединяющей две школы по разным сторонам улицы. В одной из них, через дорогу от шавермы, до 1975 года учился Виктор Цой. Говорят, в одном из кабинетов до сих пор хранят как реликвию его хулиганскую надпись. ', ' ', 'Помещение небольшое, квадратное, вдоль боковых стенок есть стойки со стульями. Готовят, судя по всему, сами хозяева, ребята разговорчивые и приветливые, как я смог понять, готовят свою собственную домашнюю шаверму в тортилье, без претензий на аутентичность. Ассортимент представлен на фотографии, классическая шаверма стоит 150 рублей. Один из работников принимает деньги, второй готовит шаверму в перчатках. Перед началом трапезы гостю даются влажные салфетки, что отчасти компенсирует отсутствие туалета. ', ' ', 'Размер шавермы за 150 средний, нельзя сказать, что это максимум, но намного больше, чем как правило бывает среди мест с аналогичной идеологией. Шаверма делается открытой, так как заворачивается в относительно небольшую по площади тортилью. Ещё на стадии приготовления выявляется главный минус заведения: тут нет вертела, а мясо... просто жарят на сковороде! Во вкусе это ощущается: да, мясо очень качественное, хорошо замариновано и обжарено, но без вертела всё это теряет свой смысл. Надеюсь, ребята всё же прислушаются к моим настойчивым мольбам приобрести вертел. ', ' ', 'Из овощей присутствовали помидоры, огурцы, капуста и, кажется, подобие какого-то салата типа рукколы, только для бедных. Всё было свежее, по этому пункту нареканий нет. Соус очень далёк от ТСС, представляет собой скорее вариацию на тему чесночного самодельного соуса с большим количество сушёной зелени и специй. Менее жирный, чем ТСС, но более пряный. В целом ненавязчив и добротно выполняет свою функцию. Вместо лаваша, как уже было сказано, тортилья, плюсом которой является относительная прочность. Шаверма не протекла и не развалилась. ', '', 'В целом как заведение, так и сама шаверма оставили благоприятное впечатление, за исключением способа приготовления мяса, всё отлично. Не самые большие размеры за среднюю цену теоретически тоже можно занести в недостатки. И того один очень крупный и один очень мелкий минус, 7 будущих Икарусов из 10 (а ребята могли бы использовать это в собственном позиционировании - близость Цоя).']","['ОЦЕНКА: 7']","АДРЕС: ул. Ленсовета, д. 87, к. 1'",7
