X.1,id_post,Правильный.адрес,Оценка,X,reviewer_id,answer_id,answer_text,address,score_test,score,question_poll,date
1,32692,"Петергофское шоссе, 3","8,5",377049,40848925,799393368,Шаверма там лучше,"['#шаверма_Ветеранов', '#шаверма_ПроспектВетеранов', '#шаверма_Ленинский']","['ОЦЕНКА: 8,5']",8.5,"Внимание, опрос",1474828483
2,32692,"Петергофское шоссе, 3","8,5",377050,372944189,799393368,Шаверма там лучше,"['#шаверма_Ветеранов', '#шаверма_ПроспектВетеранов', '#шаверма_Ленинский']","['ОЦЕНКА: 8,5']",8.5,"Внимание, опрос",1474828483
3,32692,"Петергофское шоссе, 3","8,5",377051,67117841,799393368,Шаверма там лучше,"['#шаверма_Ветеранов', '#шаверма_ПроспектВетеранов', '#шаверма_Ленинский']","['ОЦЕНКА: 8,5']",8.5,"Внимание, опрос",1474828483
4,32692,"Петергофское шоссе, 3","8,5",377052,225527231,799393368,Шаверма там лучше,"['#шаверма_Ветеранов', '#шаверма_ПроспектВетеранов', '#шаверма_Ленинский']","['ОЦЕНКА: 8,5']",8.5,"Внимание, опрос",1474828483
5,32692,"Петергофское шоссе, 3","8,5",377053,361728532,799393368,Шаверма там лучше,"['#шаверма_Ветеранов', '#шаверма_ПроспектВетеранов', '#шаверма_Ленинский']","['ОЦЕНКА: 8,5']",8.5,"Внимание, опрос",1474828483
6,32692,"Петергофское шоссе, 3","8,5",377055,35868942,799393369,Шаверма там хуже,"['#шаверма_Ветеранов', '#шаверма_ПроспектВетеранов', '#шаверма_Ленинский']","['ОЦЕНКА: 8,5']",8.5,"Внимание, опрос",1474828483
7,32692,"Петергофское шоссе, 3","8,5",377056,1542266,799393369,Шаверма там хуже,"['#шаверма_Ветеранов', '#шаверма_ПроспектВетеранов', '#шаверма_Ленинский']","['ОЦЕНКА: 8,5']",8.5,"Внимание, опрос",1474828483
8,32692,"Петергофское шоссе, 3","8,5",377057,197459189,799393369,Шаверма там хуже,"['#шаверма_Ветеранов', '#шаверма_ПроспектВетеранов', '#шаверма_Ленинский']","['ОЦЕНКА: 8,5']",8.5,"Внимание, опрос",1474828483
9,32692,"Петергофское шоссе, 3","8,5",377058,76968859,799393369,Шаверма там хуже,"['#шаверма_Ветеранов', '#шаверма_ПроспектВетеранов', '#шаверма_Ленинский']","['ОЦЕНКА: 8,5']",8.5,"Внимание, опрос",1474828483
10,32692,"Петергофское шоссе, 3","8,5",377059,812707,799393369,Шаверма там хуже,"['#шаверма_Ветеранов', '#шаверма_ПроспектВетеранов', '#шаверма_Ленинский']","['ОЦЕНКА: 8,5']",8.5,"Внимание, опрос",1474828483
11,32692,"Петергофское шоссе, 3","8,5",377060,182774675,799393369,Шаверма там хуже,"['#шаверма_Ветеранов', '#шаверма_ПроспектВетеранов', '#шаверма_Ленинский']","['ОЦЕНКА: 8,5']",8.5,"Внимание, опрос",1474828483
12,32692,"Петергофское шоссе, 3","8,5",377061,211277247,799393369,Шаверма там хуже,"['#шаверма_Ветеранов', '#шаверма_ПроспектВетеранов', '#шаверма_Ленинский']","['ОЦЕНКА: 8,5']",8.5,"Внимание, опрос",1474828483
13,32692,"Петергофское шоссе, 3","8,5",377062,3363527,799393369,Шаверма там хуже,"['#шаверма_Ветеранов', '#шаверма_ПроспектВетеранов', '#шаверма_Ленинский']","['ОЦЕНКА: 8,5']",8.5,"Внимание, опрос",1474828483
14,32692,"Петергофское шоссе, 3","8,5",377063,256975,799393369,Шаверма там хуже,"['#шаверма_Ветеранов', '#шаверма_ПроспектВетеранов', '#шаверма_Ленинский']","['ОЦЕНКА: 8,5']",8.5,"Внимание, опрос",1474828483
15,32692,"Петергофское шоссе, 3","8,5",377064,213568433,799393369,Шаверма там хуже,"['#шаверма_Ветеранов', '#шаверма_ПроспектВетеранов', '#шаверма_Ленинский']","['ОЦЕНКА: 8,5']",8.5,"Внимание, опрос",1474828483
16,32692,"Петергофское шоссе, 3","8,5",377065,109160201,799393369,Шаверма там хуже,"['#шаверма_Ветеранов', '#шаверма_ПроспектВетеранов', '#шаверма_Ленинский']","['ОЦЕНКА: 8,5']",8.5,"Внимание, опрос",1474828483
17,32692,"Петергофское шоссе, 3","8,5",377066,282622953,799393369,Шаверма там хуже,"['#шаверма_Ветеранов', '#шаверма_ПроспектВетеранов', '#шаверма_Ленинский']","['ОЦЕНКА: 8,5']",8.5,"Внимание, опрос",1474828483
18,32692,"Петергофское шоссе, 3","8,5",377067,190851614,799393369,Шаверма там хуже,"['#шаверма_Ветеранов', '#шаверма_ПроспектВетеранов', '#шаверма_Ленинский']","['ОЦЕНКА: 8,5']",8.5,"Внимание, опрос",1474828483
19,32692,"Петергофское шоссе, 3","8,5",377068,643553,799393369,Шаверма там хуже,"['#шаверма_Ветеранов', '#шаверма_ПроспектВетеранов', '#шаверма_Ленинский']","['ОЦЕНКА: 8,5']",8.5,"Внимание, опрос",1474828483
20,32692,"Петергофское шоссе, 3","8,5",377069,262289113,799393369,Шаверма там хуже,"['#шаверма_Ветеранов', '#шаверма_ПроспектВетеранов', '#шаверма_Ленинский']","['ОЦЕНКА: 8,5']",8.5,"Внимание, опрос",1474828483
21,32692,"Петергофское шоссе, 3","8,5",377070,39543261,799393369,Шаверма там хуже,"['#шаверма_Ветеранов', '#шаверма_ПроспектВетеранов', '#шаверма_Ленинский']","['ОЦЕНКА: 8,5']",8.5,"Внимание, опрос",1474828483
22,32692,"Петергофское шоссе, 3","8,5",377071,85962248,799393369,Шаверма там хуже,"['#шаверма_Ветеранов', '#шаверма_ПроспектВетеранов', '#шаверма_Ленинский']","['ОЦЕНКА: 8,5']",8.5,"Внимание, опрос",1474828483
23,32692,"Петергофское шоссе, 3","8,5",377072,347610104,799393369,Шаверма там хуже,"['#шаверма_Ветеранов', '#шаверма_ПроспектВетеранов', '#шаверма_Ленинский']","['ОЦЕНКА: 8,5']",8.5,"Внимание, опрос",1474828483
24,32692,"Петергофское шоссе, 3","8,5",377073,21093437,799393369,Шаверма там хуже,"['#шаверма_Ветеранов', '#шаверма_ПроспектВетеранов', '#шаверма_Ленинский']","['ОЦЕНКА: 8,5']",8.5,"Внимание, опрос",1474828483
25,32692,"Петергофское шоссе, 3","8,5",377074,3321293,799393369,Шаверма там хуже,"['#шаверма_Ветеранов', '#шаверма_ПроспектВетеранов', '#шаверма_Ленинский']","['ОЦЕНКА: 8,5']",8.5,"Внимание, опрос",1474828483
26,32692,"Петергофское шоссе, 3","8,5",377075,222104350,799393369,Шаверма там хуже,"['#шаверма_Ветеранов', '#шаверма_ПроспектВетеранов', '#шаверма_Ленинский']","['ОЦЕНКА: 8,5']",8.5,"Внимание, опрос",1474828483
27,32692,"Петергофское шоссе, 3","8,5",377076,4134495,799393369,Шаверма там хуже,"['#шаверма_Ветеранов', '#шаверма_ПроспектВетеранов', '#шаверма_Ленинский']","['ОЦЕНКА: 8,5']",8.5,"Внимание, опрос",1474828483
28,32692,"Петергофское шоссе, 3","8,5",377077,319903816,799393369,Шаверма там хуже,"['#шаверма_Ветеранов', '#шаверма_ПроспектВетеранов', '#шаверма_Ленинский']","['ОЦЕНКА: 8,5']",8.5,"Внимание, опрос",1474828483
29,32692,"Петергофское шоссе, 3","8,5",377078,4225876,799393369,Шаверма там хуже,"['#шаверма_Ветеранов', '#шаверма_ПроспектВетеранов', '#шаверма_Ленинский']","['ОЦЕНКА: 8,5']",8.5,"Внимание, опрос",1474828483
