"","idshava","name","photo","right_addres","coord1","coord2","district"
"1","id2010","Doner Kebab","-","Авиаконструкторов проспект, 6",30.243539,60.01112,"Приморский район"
"2","id2210","Ketch Up Burgers","https://pp.userapi.com/c633723/v633723027/39226/qKOL125L1A8.jpg","Литейный проспект, 59",30.346856,59.9342,"Центральный район"
"3","id2025","Шахерезада","-","Балканская площадь, 5 лит И, ТРК Балканский 1, фудкорт",30.380186,59.828858,"Фрунзенский район"
"4","id1048","Гранада","https://pp.userapi.com/c836335/v836335204/65bf/U363DOs-8Uo.jpg","Рубинштейна, 11",30.344055,59.92994,"Центральный район"
"5","id1049","CORNER KEBAB","https://pp.userapi.com/c630829/v630829670/41ad9/XVMhEceFu9Y.jpg","Рубинштейна, 4",30.346119,59.932206,"Центральный район"
"6","id1050","Бекицер","-","Рубинштейна, 40/11",30.342746,59.926648,"Центральный район"
"7","id2289","У Захара","https://pp.userapi.com/c636229/v636229233/128f6/n5qyHGGWb3w.jpg","Новочеркасский проспект, 39/2",30.410141,59.929919,"Красногвардейский район"
"8","id2168","Шаверма","https://pp.userapi.com/c631427/v631427360/2852e/6IzIvMFGwN8.jpg","Крыленко, 21Б",30.476791,59.897242,"Невский район"
"9","id1056","Шаверма","https://pp.userapi.com/c631424/v631424263/24c24/3Chrma34qWE.jpg","Сенная площадь",30.3181,59.927617,"Адмиралтейский район"
"10","id2206","Аль-Шарк","https://pp.userapi.com/c627120/v627120889/233ab/2_KZ6dNveMo.jpg","Лиговский проспект, 67",30.357769,59.926913,"Центральный район"
"11","id2055","Кебаб Шаверма","-","Большевиков проспект, 71к1",30.478834,59.878033,"Невский район"
"12","id2233","Шаверма у Ромы","-","Матвеева переулок, 5а",30.292412,59.926003,"Адмиралтейский район"
"13","id2073","Коко Шаурма","https://pp.userapi.com/c631923/v631923495/21f54/2i1vA74AY7A.jpg","Васи Алексеева, 6, ТРК Румба, фудкорт",30.265726,59.880013,"Кировский район"
"14","id2214","Шаверма у Джамала","https://pp.userapi.com/c622620/v622620405/4b492/-H6gSwrzjyM.jpg","Ломоносова, 2",30.326017,59.933079,"Центральный район"
"15","id2192","PitaGrill","https://pp.userapi.com/c636822/v636822154/4bc37/vCX3wJ10EIs.jpg","Ленсовета, 87 к1",30.34301,59.835612,"Московский район"
"16","id2019","Донер-Кебаб","https://pp.userapi.com/c637719/v637719548/1f6f8/eV3zDDMwPJU.jpg","Афонская, 18а",30.302704,60.028562,"Приморский район"
"17","id2298","Шаверма","-","Оптиков 24/42",30.207909,60.000368,"Приморский район"
"18","id2119","Египетский WoW у Адама","https://pp.userapi.com/c837328/v837328086/126eb/c7mnURqJZW0.jpg","Звёздная, 14",30.363198,59.835242,"Московский район"
"19","id2142","Али-Баба","https://pp.userapi.com/c836120/v836120352/17b6a/t6uyPF0G1NU.jpg","Коломяжский проспект, 26а",30.297093,60.00422,"Приморский район"
"20","id2033","Doner Kebab","https://pp.userapi.com/c836735/v836735467/5e83/LbOFv5Wfq5E.jpg","Бассейная, 65",30.338526,59.864274,"Московский район"
"21","id2030","Doner Kebab","https://pp.userapi.com/c627420/v627420583/1865a/xvI8KYiqj_c.jpg","Бассейная, 12Б",30.315114,59.866202,"Московский район"
"22","id2032","Бистро","https://pp.userapi.com/c630217/v630217488/1487b/SJINqyu8w9I.jpg","Бассейная, 41д",30.322001,59.865083,"Московский район"
"23","id2118","Дилижанс","https://pp.userapi.com/c636919/v636919670/22a0c/0kXlLpGtYqA.jpg","Заставская, 28",30.324473,59.888714,"Московский район"
"24","id2241","Бистро","-","Московский проспект, 105 к2",30.318333,59.890908,"Московский район"
