"","polls_id","answer_id","num_voted","users"
"1",257606257,862735006,45,"189672856,20396080,102030905,31846347,39034258,133495312,3321293,114690109,180449886,181536019,181791781,353658341,331924315,74307767,57525093,182228951,262289113,124803591,137856033,90485263,351793072,1772595,2911883,28319666,95313487,51500389,55188877,1114807,373544,51288009,33940060,41888349,30216418,383921098,72761552,96017267,343641272,394645289,67778384,34501104,173783410,157555531,362305252,72054641,92287830"
"2",257606257,862735007,11,"6305876,4551,8454530,20073457,252165221,138426956,133788477,292557068,139883034,633728,2523605"
"3",257606257,862735008,16,"45979668,280997424,345097763,28233,19717327,29784691,163637959,36667027,93502147,397079836,413947161,404521915,8310751,119680106,84513738,138188837"
"4",257606257,862735009,NA,"0"
"5",257606257,862735010,239,"238367823,14937002,113259838,50401233,362229438,113315887,53292375,82099966,8705551,198962496,3141170,26298226,138109355,101918,55077750,3028805,353758861,100025142,366995231,760628,70537551,459673,14498212,1581512,866293,13484002,99474216,339599820,88694286,20864779,17700275,17250409,307254253,215902790,146067222,141977657,29667949,43886791,171576700,235394214,62971652,7121,195230454,199856700,5934679,148887035,222169988,95791490,32220795,19293,6282956,14782677,325203542,238803846,336137862,51702898,120840002,60830343,304650,170460375,119557253,31062925,19120819,285540296,193239200,11677591,399288322,1811814,65284137,1377113,39820186,73968045,19916755,239931315,4284368,119253542,666724,1501155,153875618,91619045,444299,180490,152392982,173916099,12399760,46499661,30730816,1482202,6763301,17098302,10849359,251392342,8427172,18148124,45545639,164652383,4600718,59248210,2335490,12258306,1757203,316069374,11497326,224901617,726,398019,8512570,139920667,612484,72798571,4645678,147796,7496882,76602,555217,272154613,339370774,30721936,175711791,4126679,118231606,73574,17629285,318442528,66438599,24761922,4521365,124175862,11879637,36615683,675801,46733648,461044,302609720,158585727,273901659,1210128,506144,31337984,361704011,86719028,109327491,194758158,181413544,85430563,8220465,45370146,157947064,168555019,230703790,14125058,105191289,113140560,387212234,4181694,4156903,5352978,7219971,101117,614325,83169,178302292,45450657,7667379,8905414,305511951,132684488,61313,145104106,175974810,60765391,29327075,20159396,248806879,9271007,62137796,829692,7924681,47533786,57063391,15055502,2312396,2431312,824306,165633468,16477956,80606851,238125961,376761619,309491157,2880255,609501,87324791,16802417,153595294,499335,14893,1289222,90156746,1681552,366911641,104320724,200854471,708667,139088,344516563,33189045,1118116,14380016,2571546,283045607,8094878,781152,41757178,36873079,187567952,91001784,20219483,175720799,264775236,23982529,196835387,334078299,57406100,61498839,246754928,253431187,22516395,319324,106034435,413404314,145376788,168797598,170235,8400002,2501891,378751786,115457659,1059179"
"6",256919352,860332460,23,"17297775,280997424,292411079,18212801,138159952,35628254,186377799,138188837,19644101,29755241,308363722,321939777,18794153,85585512,256161262,37141160,58713143,1403942,57460332,247199319,20382282,197722432,205204308"
"7",256919352,860332461,5,"34672866,249195755,99474216,1830704,355239110"
"8",256919352,860332462,15,"199856700,69971376,116560516,90485263,2018231,14481105,172122929,471934,325113173,223848171,330061482,262289113,54212778,404521915,15962749"
"9",256919352,860332463,2,"175692546,51244179"
"10",256919352,860332464,134,"362229438,137276950,11343699,11599618,17556,173916099,121478101,15884153,25656566,51702898,1811814,56279683,205929548,4156903,72091980,8705551,50401233,242888187,373544,15740100,416460705,230703790,238803846,79188441,4521365,17700275,9271007,2571546,32220795,60876630,45370146,15440807,95791490,60830343,145376788,152576456,217739807,7882246,65106,97527319,65284137,818573,151740514,3321293,374229040,8794112,2431312,87324791,33763965,3889478,14154684,146732090,2312396,50769,829692,26541112,238125961,139865303,5584818,251392342,32725854,163637959,139842468,316436079,15030037,1475324,27513244,362361284,234542310,408937789,5734540,13272,1090248,41498478,119512734,83720364,218552203,170586605,10835085,53898905,5168137,4710456,4661651,500647,211345708,413404314,449852,114964907,139088,23982529,15026506,38027319,246754928,193098524,2182706,2436048,85503221,18174078,21298315,35423377,7636708,72798571,254607205,3373552,224901617,10188750,343489656,248427462,51039122,306040116,321192762,5687200,22729540,45545639,136122052,52102248,7924681,1310848,131582649,257109176,2259267,2603825,194758158,113710344,84795700,133233955,85872437,63300406,311013459,390936157,235318152,102501392,18578245,221911200"
"11",257392725,861994013,7,"321939777,336052108,648809,83116050,330061482,419619,205204308"
"12",257392725,861994014,NA,"0"
"13",257392725,861994015,17,"4156903,138188837,306040116,643553,9739337,98479950,238466803,80612622,574841,4245956,19359005,170995467,90485263,2199265,378751786,87743361,212536697"
"14",257392725,861994016,1,"325113173"
"15",257392725,861994017,135,"305850627,113315887,173916099,121478101,1811814,115003833,13385075,218813244,32220795,142991,60876630,95791490,217739807,65106,97527319,818573,374229040,8153470,22293890,14154684,25390682,163637959,3141170,41505886,25142378,349366091,245872211,1803813,4884003,238803846,22044466,1722236,229993074,119445881,262289113,17700275,14481105,15884153,256603,99345303,45370146,8705551,4521365,17002524,23018737,151092377,45246064,196835387,2431312,351940420,90002052,46733648,3822785,1898483,60830343,194758158,1289222,200854471,139842468,386711346,8911614,208424919,314413846,7496882,95820481,48092610,3302115,2195669,963284,251392342,113847,7020811,322127858,215906159,4913058,99474216,829692,15740100,7634600,18633922,353758861,480596,2343974,13226722,18481483,281165453,26322863,58044613,64216381,41757178,120840002,7882246,1035072,6097874,3321293,27040469,387212234,45545639,198795248,177517794,444299,398019,467158,270432221,405475652,12915831,241360009,2279209,1310848,7750586,138780530,1137864,46723843,296267139,8722562,24761922,266482276,139088,168869483,344516563,16299213,260646298,32993658,413404314,149579339,8291538,18790837,73882902,8330324,90842541,338693542,49187800,235410607,399204,115457659"
"16",255745920,856268978,20,"11343699,164565005,181536019,44392035,30483868,412137113,211277247,194758158,80776,4337392,292411079,182662,58561162,132986577,35795779,370208446,22839865,49739612,394645289,305346863"
"17",255745920,856268979,20,"186880765,246170,501193,203391407,2695480,160617954,8175253,141856532,28233,38405800,246115744,217604776,221810605,18121188,45545639,30485827,328693456,46195098,45569,90485263"
"18",255745920,856268980,16,"229342031,404521915,29354273,1335950,30907385,13484002,183468524,8017026,191778335,315834716,748887,92549737,33261105,203007310,51288009,142012026"
"19",255745920,856268981,2,"181009698,33096947"
"20",255745920,856268982,146,"931515,173916099,121478101,1811814,55902226,52130702,29554799,349366091,119445881,230703790,286356711,138283314,14154684,34274625,1090873,18373646,79472564,3796960,362841,106168367,266765341,95791490,18693424,32220795,1021172,167330723,500647,138959,20159396,17700275,53895737,22495348,146067222,23846380,97527319,262289113,90002052,182412044,17250409,70322644,1087431,119819,6762006,238803846,103834724,99345303,1661014,244010028,272154613,31759,311013459,413404314,8705551,218552203,33820237,80402,86078946,37748132,44171090,271385,45370146,60830343,477832,33684776,4521365,15956436,304215,21862986,145376788,61496403,57063391,121986642,28775403,151740514,273743557,9739337,8278792,65284137,726,231213791,14082503,38229877,139842468,285362,781152,8153470,32973840,3321293,399288322,313234995,829692,91599905,3472053,170741408,8087197,344516563,346985888,135367923,49494240,16892301,50334414,85962248,215681665,24223274,152413617,311565387,58891772,96058750,120741769,376566,35702,7667379,251392342,196835387,175720799,93502147,58044613,31382978,4661651,31680873,33763965,157273635,2751456,7636708,177517794,4710456,5425395,193821736,139088,50887275,16684915,318470663,29197745,684104,19273718,23249648,78327100,86365926,2386307,141887997,2988815,7468680,14937002,27958346,68073546,319257059"
"21",256973318,860524136,10,"164445764,203391407,168709723,211601761,36443610,315834716,189330943,376957,36376,27917131"
"22",256973318,860524137,10,"18506502,246115744,224419330,321384320,332879892,283071501,211277247,249962869,32450159,334922327"
"23",256973318,860524138,13,"4551,332717278,1473312,306040116,748887,97527319,99474216,252399,182228951,18736011,65755491,152413617,199552961"
"24",256973318,860524139,3,"150349225,262289113,844420"
"25",256973318,860524140,138,"2134077,96781813,1811814,11683009,52130702,18106205,349366091,119445881,230703790,1913137,28885906,127020933,139842468,197898321,3796960,33119272,362841,70701886,18693424,274426,8416027,375148796,53895737,33763965,70322644,95791490,95230642,18121188,45370146,145376788,168335898,46102948,1210128,273743557,74631260,113214279,14937002,25044586,3321293,38500851,164673630,246170,16892301,38305493,80783030,404521915,8298402,17700275,13484002,56516836,120047773,91001784,70537551,317719710,8705551,7667379,239519509,25907363,238803846,32220795,4521365,181536019,1289222,49500822,3499318,581534,7882246,136569815,92382485,196969039,7709191,158374688,217604776,302398520,57382353,62971652,311013459,395555104,218552203,73574,298920764,81898463,500647,48092610,113847,3633739,32993658,142991,8153470,80130317,15956436,413404314,2624809,259215557,322127858,157555531,829692,4710456,394165332,57220795,4913058,14392819,196835387,236896,36446026,58044613,4791627,201088381,83169,14154684,8905414,413356633,6687540,30527352,6882922,60830343,131582649,292411079,2141079,50887275,362926140,65578716,258514380,491523,166168693,139088,201592503,120840002,26349990,68073546,11397685,4884003,296267139,22516395,159221995,161944220,36233143,60112384"
"26",255744604,856264299,12,"302398520,3220679,1299524,1532702,133429485,80612622,12898958,173401485,20554409,23863914,63679383,346053233"
"27",255744604,856264300,23,"14309052,153776835,232385303,246115744,37908661,50069722,1273479,262943964,85962248,184696928,95711268,49648707,350977044,160194501,90485263,137144371,189661080,10188750,17911882,366152721,208066253,404521915,1735676"
"28",255744604,856264301,18,"77509460,141856532,2726240,13328261,138079681,32112253,191778335,873391,25311298,36837335,6162915,170995467,78678958,252904311,275968691,111243415,1262060,648809"
"29",255744604,856264302,2,"125633570,97026673"
"30",255744604,856264303,187,"72178774,180265377,5077938,1811814,267569457,218813244,349366091,4884003,119445881,17002524,18481483,1913137,204301883,14154684,294524737,34274625,362841,18693424,379731166,306040116,167330723,375148796,1892831,53895737,15361142,221810605,95791490,18121188,83116050,46102948,273743557,74631260,243964652,38500851,259792772,35805936,16892301,8298402,330001454,99474216,32220795,91696775,214389939,78797011,211601761,298920764,394165332,122111153,93530797,101952511,142084532,3925150,17250409,303747564,251392342,45370146,135367923,58387340,97357829,70537551,114690109,279257433,12041377,138136274,262289113,1289222,80783030,7882246,61262520,235318152,86986932,226661316,162430795,217604776,13962517,225549603,97527319,48092610,263476054,296267139,139842468,8153470,211176742,220075694,150793269,75198969,1815966,238803846,13484002,39820186,136242706,285540296,44134311,28974242,161944220,345811264,829692,238125961,398019,172071947,5582596,120840002,6216849,42307054,2334138,14960532,379705,173489461,239519509,45545639,196835387,56289328,175918358,73574,1257389,40249579,33189045,60830343,76638820,17700275,8705551,182481226,173385256,6211825,39864886,65284137,56516836,156679354,86328734,152413617,13272,218552203,1052029,444299,145376788,121562217,272154613,176193087,38159369,3141170,231446329,244010028,153059,38305493,17893919,4710456,199632147,1209730,100887528,4521365,19074444,39322,69239956,187567952,15956436,396198598,48059,203456258,197009609,58044613,93933599,212536697,2138758,516040,142991,29197745,49500732,28748954,30490594,7614779,33763965,372245914,168873640,292411079,172222242,16923707,12516554,368918401,144603886,3012248,3321293,413404314,3093175,99133375,78327100,260081989,196141213"
"31",256576744,859150538,20,"50949855,14154684,328650744,228783991,200326262,235318152,23846380,3894406,206849103,95313487,348181077,234775609,1299524,27831635,203307037,168335898,1403942,26333360,307378561,43595210"
"32",256576744,859150539,7,"305850627,181536019,155209117,30144641,246115744,97527319,71017194"
"33",256576744,859150540,16,"7428080,25795118,367580453,184696928,30077592,224051,262943964,105931279,189661080,46493107,185671,6581164,6049143,170995467,404521915,372356816"
"34",256576744,859150541,2,"7667379,95418776"
"35",256576744,859150542,174,"180265377,141977657,1811814,242888187,104292715,4284368,349366091,4884003,119445881,33029473,250579927,230703790,3231680,34274625,21174665,3327488,167858036,18693424,274426,90251077,53895737,10587463,46102948,273743557,62772407,491575,113214279,16892301,91001784,330001454,230662141,91696775,78797011,211601761,6722583,122111153,17250409,56516836,135367923,97357829,70537551,114690109,279257433,138136274,50069722,5242543,7882246,61262520,15495680,217604776,80612622,49843,87847706,139842468,209003045,125633570,402002240,212091,150793269,13484002,39820186,120840002,6216849,45545639,175918358,22495348,272154613,17700275,252904311,39864886,160194501,113315887,32220795,26745777,1757203,362305252,80709196,8705551,829692,8416027,262289113,1755305,26587,68768094,1913137,125441940,3506187,322962,5587013,239867727,8689842,34420264,4094843,251392342,48092610,249861847,80402,2638190,196188095,86986932,142676929,146444210,323436,12950131,139096986,62971652,45370146,8153470,788126,24761922,59630297,142991,90513012,196835387,215233222,1482202,60830343,156974703,3321293,181413544,238803846,107260942,413404314,65284137,182228951,466915,203644529,617036,235410607,246754928,3339124,2753827,70095871,13128722,122690798,23541593,581534,241360009,96623762,32519412,69560,26842036,238125961,444299,36484397,244010028,11497326,5168137,467514,46723843,8353758,122604928,195230454,81781101,107015120,73045431,240139142,288677585,133233955,12335701,39162229,83956790,21600527,106139815,177986254,14937002,194758158,94959630,688965,172470088,348973,137228513,31752342,5173708"
"36",255742432,856256524,22,"181536019,1532702,410662037,3894406,291097164,211277247,1592079,1751314,7193731,201088381,93619858,59063073,94603516,145513372,1091790,11633981,1403942,168420460,217604776,90485263,378751786,194758158"
"37",255742432,856256525,15,"292557068,1992063,244624304,366518107,224583948,332879892,155209117,274554137,1461520,54958006,246115744,280495648,346131537,344421045,23249648"
"38",255742432,856256526,49,"32334535,344633871,263859163,82447028,311619834,328650744,6282956,184696928,449677,232396775,2082809,10188750,2530291,160194501,189661080,149947,36328653,172122929,29755241,300817892,43737429,53057449,7151409,246170,3321293,229463724,170995467,138188837,429242,4947895,1596343,262289113,142382340,209411276,328052,181067180,199552961,87958774,85872437,18123747,348890785,362013605,136609050,862967,11609479,5327580,149221,321673642,99133375"
"39",255742432,856256527,1,"112781531"
